127.0.0.1 - - [18/Apr/2022:19:36:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:36:23 +0900] "GET /JSPBook/ch08/validation01.jsp HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:36:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:36:34 +0900] "GET /JSPBook/ch08/validation01.jsp?id=%EA%B4%80%EB%A6%AC%EC%9E%90&passwd=1234 HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:37:35 +0900] "GET /JSPBook/ch08/validation01.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:37:42 +0900] "GET /JSPBook/ch08/validation01.jsp?id=%EA%B4%80%EB%A6%AC%EC%9E%90&passwd=123 HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:38:11 +0900] "GET /JSPBook/ch08/validation01.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [18/Apr/2022:19:38:17 +0900] "GET /JSPBook/ch08/validation01.jsp?id=%EA%B4%80%EB%A6%AC%EC%9E%90&passwd=123 HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:05:47 +0900] "GET /JSPBook/ch08/validation02.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:05:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:05:52 +0900] "POST /JSPBook/ch08/validation02_process.jsp HTTP/1.1" 500 2750
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:07:08 +0900] "POST /JSPBook/ch08/validation02_process.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:07:14 +0900] "POST /JSPBook/ch08/validation02_process.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:07:19 +0900] "GET /JSPBook/ch08/validation02.jsp HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:07:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:07:27 +0900] "POST /JSPBook/ch08/validation02_process.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:21:35 +0900] "GET /JSPBook/ch08/validation04.jsp HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:21:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:23:01 +0900] "GET /JSPBook/ch08/validation04.jsp HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:24:47 +0900] "GET /JSPBook/ch08/validation04.jsp HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:24:48 +0900] "GET /JSPBook/ch08/validation04.jsp HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:25:15 +0900] "GET /JSPBook/ch08/validation04.jsp HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:25:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:53:29 +0900] "GET /JSPBook/ch08/validation05.jsp HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [18/Apr/2022:20:53:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
