127.0.0.1 - - [16/May/2022:20:04:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/May/2022:20:04:25 +0900] "GET /JSPBook/ch13/session01.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [16/May/2022:20:04:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/May/2022:20:04:32 +0900] "POST /JSPBook/ch13/session01_process.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [16/May/2022:20:04:39 +0900] "GET /JSPBook/ch13/session02.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [16/May/2022:20:04:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/May/2022:20:04:49 +0900] "GET /JSPBook/ch13/session01.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [16/May/2022:20:04:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/May/2022:20:04:53 +0900] "POST /JSPBook/ch13/session01_process.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [16/May/2022:20:04:58 +0900] "GET /JSPBook/ch13/session02.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [16/May/2022:20:09:23 +0900] "GET /JSPBook/ch13/session01.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [16/May/2022:20:09:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/May/2022:20:09:27 +0900] "POST /JSPBook/ch13/session01_process.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [16/May/2022:20:14:06 +0900] "GET /JSPBook/ch13/session04.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [16/May/2022:20:15:02 +0900] "GET /JSPBook/ch13/session01.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [16/May/2022:20:15:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/May/2022:20:15:04 +0900] "POST /JSPBook/ch13/session01_process.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [16/May/2022:20:15:07 +0900] "GET /JSPBook/ch13/session04.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [16/May/2022:20:28:46 +0900] "GET /JSPBook/ch13/session01.jsp HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [16/May/2022:20:28:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/May/2022:20:28:49 +0900] "POST /JSPBook/ch13/session01_process.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [16/May/2022:20:29:03 +0900] "GET /JSPBook/ch13/session08.jsp HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [16/May/2022:20:42:21 +0900] "GET /JSPBook/ch13/session01.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [16/May/2022:20:42:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/May/2022:20:42:24 +0900] "POST /JSPBook/ch13/session01_process.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [16/May/2022:20:42:29 +0900] "GET /JSPBook/ch13/session09.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [16/May/2022:20:42:31 +0900] "GET /JSPBook/ch13/session09.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [16/May/2022:20:42:32 +0900] "GET /JSPBook/ch13/session09.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [16/May/2022:20:42:32 +0900] "GET /JSPBook/ch13/session09.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [16/May/2022:20:58:12 +0900] "GET /JSPBook/ch14/cookie01.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [16/May/2022:20:58:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/May/2022:20:58:14 +0900] "POST /JSPBook/ch14/cookie01_process.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [16/May/2022:20:58:40 +0900] "GET /JSPBook/ch14/cookie02.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [16/May/2022:20:59:03 +0900] "GET /JSPBook/ch14/cookie02.jsp HTTP/1.1" 500 2754
0:0:0:0:0:0:0:1 - - [16/May/2022:20:59:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/May/2022:20:59:09 +0900] "GET /JSPBook/ch14/cookie01.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [16/May/2022:20:59:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/May/2022:20:59:12 +0900] "POST /JSPBook/ch14/cookie01_process.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [16/May/2022:20:59:16 +0900] "GET /JSPBook/ch14/cookie02.jsp HTTP/1.1" 200 733
